borough,year,total_crashes,total_fatalities,fatality_rate_per_1000_crashes,fatality_rank_within_year
BRONX,2012,9511,17,1.7874040584586,2
BRONX,2013,19768,32,1.6187778227438,2
BRONX,2014,19688,19,0.9650548557497,4
BRONX,2015,21258,26,1.2230689622730,3
BRONX,2016,21660,19,0.8771929824561,3
BRONX,2017,21397,17,0.7945039024162,5
BRONX,2018,23060,21,0.9106678230703,3
BRONX,2019,22437,11,0.4902616214289,5
BRONX,2020,14306,23,1.6077170418006,5
BRONX,2021,13389,23,1.7178280678169,5
BRONX,2022,12285,34,2.7676027676028,2
BRONX,2023,10507,25,2.3793661368611,2
BRONX,2024,10033,33,3.2891458187980,2
BRONX,2025,10254,20,1.9504583577141,4
BROOKLYN,2012,23305,33,1.4160051491096,4
BROOKLYN,2013,47024,67,1.4248043552229,3
BROOKLYN,2014,47761,67,1.4028181989489,2
BROOKLYN,2015,50851,67,1.3175748756170,2
BROOKLYN,2016,47464,37,0.7795381763020,4
BROOKLYN,2017,44915,40,0.8905710787042,4
BROOKLYN,2018,47313,39,0.8242977617145,4
BROOKLYN,2019,44479,59,1.3264686706086,1
BROOKLYN,2020,25472,51,2.0021984924623,3
BROOKLYN,2021,25174,54,2.1450703106380,3
BROOKLYN,2022,23369,48,2.0540031665882,3
BROOKLYN,2023,22890,49,2.1406727828746,4
BROOKLYN,2024,22785,53,2.3260917270134,4
BROOKLYN,2025,24303,62,2.5511253754680,1
MANHATTAN,2012,20720,21,1.0135135135135,5
MANHATTAN,2013,41582,39,0.9379058246357,4
MANHATTAN,2014,41270,35,0.8480736612551,5
MANHATTAN,2015,42528,22,0.5173062452972,5
MANHATTAN,2016,36077,34,0.9424286941819,2
MANHATTAN,2017,31774,33,1.0385850066092,2
MANHATTAN,2018,31412,20,0.6366993505667,5
MANHATTAN,2019,26593,24,0.9024931372918,4
MANHATTAN,2020,10855,21,1.9345923537540,4
MANHATTAN,2021,11432,26,2.2743177046886,1
MANHATTAN,2022,11988,24,2.0020020020020,4
MANHATTAN,2023,11823,28,2.3682652457075,3
MANHATTAN,2024,11903,32,2.6883978828867,3
MANHATTAN,2025,13229,31,2.3433366089652,2
QUEENS,2012,19138,28,1.4630577907827,3
QUEENS,2013,39312,71,1.8060643060643,1
QUEENS,2014,41023,52,1.2675816005655,3
QUEENS,2015,42493,51,1.2001976796178,4
QUEENS,2016,41395,31,0.7488827153038,5
QUEENS,2017,38627,40,1.0355450850441,3
QUEENS,2018,41278,53,1.2839769368671,1
QUEENS,2019,39865,41,1.0284710899285,3
QUEENS,2020,20667,46,2.2257705520879,2
QUEENS,2021,19564,34,1.7378859129012,4
QUEENS,2022,18427,31,1.6823139957671,5
QUEENS,2023,17786,46,2.5863038344766,1
QUEENS,2024,17812,31,1.7403997305188,5
QUEENS,2025,17950,39,2.1727019498607,3
STATEN ISLAND,2012,4902,11,2.2439820481436,1
STATEN ISLAND,2013,8295,4,0.4822182037372,5
STATEN ISLAND,2014,6614,10,1.5119443604475,1
STATEN ISLAND,2015,6344,12,1.8915510718789,1
STATEN ISLAND,2016,6709,9,1.3414815918915,1
STATEN ISLAND,2017,6241,8,1.2818458580356,1
STATEN ISLAND,2018,6171,7,1.1343380327338,2
STATEN ISLAND,2019,3650,4,1.0958904109589,2
STATEN ISLAND,2020,2388,8,3.3500837520938,1
STATEN ISLAND,2021,2665,6,2.2514071294559,2
STATEN ISLAND,2022,2718,8,2.9433406916851,1
STATEN ISLAND,2023,2724,5,1.8355359765051,5
STATEN ISLAND,2024,2697,11,4.0786058583611,1
STATEN ISLAND,2025,2777,5,1.8005041411595,5
