day_of_week,hour,total_pedestrian_injuries
1,0,697
1,1,410
1,2,346
1,3,326
1,4,403
1,5,175
1,6,154
1,7,126
1,8,237
1,9,346
1,10,449
1,11,554
1,12,613
1,13,659
1,14,773
1,15,830
1,16,842
1,17,1022
1,18,1093
1,19,1000
1,20,921
1,21,784
1,22,622
1,23,453
2,0,469
2,1,184
2,2,131
2,3,93
2,4,145
2,5,246
2,6,625
2,7,817
2,8,1282
2,9,941
2,10,845
2,11,830
2,12,954
2,13,992
2,14,1246
2,15,1384
2,16,1380
2,17,1697
2,18,1579
2,19,1309
2,20,1065
2,21,786
2,22,579
2,23,392
3,0,424
3,1,121
3,2,79
3,3,67
3,4,99
3,5,220
3,6,578
3,7,846
3,8,1404
3,9,1076
3,10,871
3,11,944
3,12,984
3,13,979
3,14,1306
3,15,1388
3,16,1480
3,17,1834
3,18,1814
3,19,1557
3,20,1269
3,21,935
3,22,600
3,23,446
4,0,498
4,1,152
4,2,104
4,3,84
4,4,95
4,5,220
4,6,541
4,7,864
4,8,1429
4,9,953
4,10,840
4,11,927
4,12,1051
4,13,1059
4,14,1367
4,15,1455
4,16,1435
4,17,1719
4,18,1770
4,19,1412
4,20,1118
4,21,895
4,22,685
4,23,489
5,0,514
5,1,158
5,2,126
5,3,94
5,4,122
5,5,200
5,6,568
5,7,871
5,8,1381
5,9,995
5,10,867
5,11,907
5,12,1042
5,13,1016
5,14,1396
5,15,1404
5,16,1426
5,17,1785
5,18,1667
5,19,1450
5,20,1197
5,21,940
5,22,707
5,23,499
6,0,577
6,1,203
6,2,133
6,3,118
6,4,146
6,5,245
6,6,531
6,7,879
6,8,1399
6,9,1020
6,10,874
6,11,966
6,12,1076
6,13,1110
6,14,1450
6,15,1455
6,16,1504
6,17,1778
6,18,1646
6,19,1482
6,20,1191
6,21,987
6,22,815
6,23,605
7,0,663
7,1,386
7,2,301
7,3,291
7,4,291
7,5,181
7,6,239
7,7,212
7,8,403
7,9,548
7,10,614
7,11,756
7,12,832
7,13,848
7,14,861
7,15,959
7,16,965
7,17,1210
7,18,1331
7,19,1233
7,20,1194
7,21,986
7,22,816
7,23,635
