hour,day_of_week,contributing_factor,total_pedestrian_injuries
17,6,Unspecified,671
17,5,Unspecified,652
18,3,Unspecified,643
18,5,Unspecified,633
17,3,Unspecified,622
18,6,Unspecified,612
17,4,Unspecified,607
18,4,Unspecified,607
17,2,Unspecified,577
16,4,Unspecified,551
15,6,Unspecified,548
16,3,Unspecified,542
18,2,Unspecified,538
19,3,Unspecified,537
15,4,Unspecified,537
16,6,Unspecified,533
15,3,Unspecified,532
19,6,Unspecified,523
14,6,Unspecified,522
16,2,Unspecified,515
15,5,Unspecified,513
14,4,Unspecified,511
14,5,Unspecified,503
16,5,Unspecified,490
19,5,Unspecified,489
18,7,Unspecified,489
19,4,Unspecified,486
14,3,Unspecified,475
8,3,Unspecified,466
14,2,Unspecified,466
20,3,Unspecified,465
15,2,Unspecified,463
19,2,Unspecified,459
8,6,Unspecified,449
20,6,Unspecified,448
20,7,Unspecified,445
17,7,Unspecified,445
8,5,Unspecified,443
8,4,Unspecified,437
19,7,Unspecified,418
20,5,Unspecified,411
17,3,Failure to Yield Right-of-Way,403
18,4,Driver Inattention/Distraction,402
8,2,Unspecified,398
18,3,Failure to Yield Right-of-Way,395
20,4,Unspecified,392
20,2,Unspecified,389
18,4,Failure to Yield Right-of-Way,382
18,3,Driver Inattention/Distraction,378
17,3,Driver Inattention/Distraction,378
18,1,Unspecified,377
17,2,Failure to Yield Right-of-Way,377
13,6,Unspecified,376
17,4,Driver Inattention/Distraction,374
17,4,Failure to Yield Right-of-Way,368
19,1,Unspecified,367
17,6,Driver Inattention/Distraction,365
17,2,Driver Inattention/Distraction,360
13,3,Unspecified,359
17,5,Driver Inattention/Distraction,358
17,6,Failure to Yield Right-of-Way,358
21,7,Unspecified,358
21,6,Unspecified,358
18,2,Driver Inattention/Distraction,357
9,6,Unspecified,353
12,6,Unspecified,353
9,3,Unspecified,352
18,5,Driver Inattention/Distraction,349
19,3,Failure to Yield Right-of-Way,348
17,5,Failure to Yield Right-of-Way,347
18,6,Driver Inattention/Distraction,345
8,5,Failure to Yield Right-of-Way,343
8,4,Failure to Yield Right-of-Way,342
13,5,Unspecified,339
21,5,Unspecified,336
13,4,Unspecified,334
12,3,Unspecified,334
18,5,Failure to Yield Right-of-Way,333
16,6,Driver Inattention/Distraction,333
18,6,Failure to Yield Right-of-Way,331
19,3,Driver Inattention/Distraction,331
12,4,Unspecified,331
18,2,Failure to Yield Right-of-Way,330
19,5,Driver Inattention/Distraction,326
13,2,Unspecified,325
19,6,Driver Inattention/Distraction,324
12,5,Unspecified,323
11,4,Unspecified,322
20,1,Unspecified,321
15,7,Unspecified,321
17,1,Unspecified,321
11,3,Unspecified,318
19,4,Driver Inattention/Distraction,317
8,3,Driver Inattention/Distraction,316
16,7,Unspecified,315
8,6,Driver Inattention/Distraction,314
12,2,Unspecified,314
19,5,Failure to Yield Right-of-Way,314
16,5,Driver Inattention/Distraction,313
14,7,Unspecified,311
14,6,Driver Inattention/Distraction,311
19,4,Failure to Yield Right-of-Way,309
