borough,vehicle_type_1,crash_severity,crash_count
BROOKLYN,Sedan,Non-Fatal,147622
QUEENS,Sedan,Non-Fatal,122339
BROOKLYN,Station Wagon/Sport Utility Vehicle,Non-Fatal,113651
QUEENS,Station Wagon/Sport Utility Vehicle,Non-Fatal,103590
BROOKLYN,PASSENGER VEHICLE,Non-Fatal,99830
QUEENS,PASSENGER VEHICLE,Non-Fatal,89002
BRONX,Sedan,Non-Fatal,72190
MANHATTAN,Sedan,Non-Fatal,71577
MANHATTAN,PASSENGER VEHICLE,Non-Fatal,61695
MANHATTAN,Station Wagon/Sport Utility Vehicle,Non-Fatal,53074
BRONX,Station Wagon/Sport Utility Vehicle,Non-Fatal,52811
BROOKLYN,SPORT UTILITY / STATION WAGON,Non-Fatal,44274
BRONX,PASSENGER VEHICLE,Non-Fatal,42736
QUEENS,SPORT UTILITY / STATION WAGON,Non-Fatal,38034
MANHATTAN,SPORT UTILITY / STATION WAGON,Non-Fatal,28737
MANHATTAN,Taxi,Non-Fatal,22981
MANHATTAN,TAXI,Non-Fatal,22531
STATEN ISLAND,Sedan,Non-Fatal,20450
STATEN ISLAND,PASSENGER VEHICLE,Non-Fatal,16822
BRONX,SPORT UTILITY / STATION WAGON,Non-Fatal,15248
STATEN ISLAND,Station Wagon/Sport Utility Vehicle,Non-Fatal,12243
BROOKLYN,4 dr sedan,Non-Fatal,8879
MANHATTAN,VAN,Non-Fatal,8389
STATEN ISLAND,SPORT UTILITY / STATION WAGON,Non-Fatal,7754
BROOKLYN,Pick-up Truck,Non-Fatal,7691
QUEENS,4 dr sedan,Non-Fatal,7406
QUEENS,Pick-up Truck,Non-Fatal,7246
MANHATTAN,Box Truck,Non-Fatal,6804
BROOKLYN,OTHER,Non-Fatal,6569
BROOKLYN,Taxi,Non-Fatal,6104
BROOKLYN,VAN,Non-Fatal,5920
BROOKLYN,Bus,Non-Fatal,5718
BROOKLYN,Box Truck,Non-Fatal,5703
MANHATTAN,OTHER,Non-Fatal,5592
MANHATTAN,4 dr sedan,Non-Fatal,5355
MANHATTAN,Bike,Non-Fatal,5126
MANHATTAN,Pick-up Truck,Non-Fatal,5108
BROOKLYN,UNKNOWN,Non-Fatal,4972
MANHATTAN,Bus,Non-Fatal,4952
MANHATTAN,BUS,Non-Fatal,4814
MANHATTAN,SMALL COM VEH(4 TIRES) ,Non-Fatal,4758
BRONX,Taxi,Non-Fatal,4731
BROOKLYN,Bike,Non-Fatal,4611
QUEENS,Taxi,Non-Fatal,4507
QUEENS,UNKNOWN,Non-Fatal,4478
MANHATTAN,LIVERY VEHICLE,Non-Fatal,4445
BRONX,4 dr sedan,Non-Fatal,4068
QUEENS,VAN,Non-Fatal,3768
BRONX,Pick-up Truck,Non-Fatal,3688
MANHATTAN,LARGE COM VEH(6 OR MORE TIRES),Non-Fatal,3599
MANHATTAN,PICK-UP TRUCK,Non-Fatal,3404
BRONX,Bus,Non-Fatal,3336
BROOKLYN,BUS,Non-Fatal,3297
QUEENS,Bus,Non-Fatal,3267
QUEENS,Box Truck,Non-Fatal,3252
MANHATTAN,UNKNOWN,Non-Fatal,3140
BRONX,UNKNOWN,Non-Fatal,3086
BROOKLYN,LARGE COM VEH(6 OR MORE TIRES),Non-Fatal,2865
MANHATTAN,Van,Non-Fatal,2854
BROOKLYN,SMALL COM VEH(4 TIRES) ,Non-Fatal,2815
QUEENS,OTHER,Non-Fatal,2729
BRONX,OTHER,Non-Fatal,2666
BRONX,Box Truck,Non-Fatal,2389
BROOKLYN,TAXI,Non-Fatal,2319
QUEENS,Bike,Non-Fatal,2263
BROOKLYN,Van,Non-Fatal,2234
BROOKLYN,Motorcycle,Non-Fatal,2233
BROOKLYN,PICK-UP TRUCK,Non-Fatal,2228
QUEENS,LARGE COM VEH(6 OR MORE TIRES),Non-Fatal,2209
QUEENS,BUS,Non-Fatal,2005
BRONX,VAN,Non-Fatal,2004
QUEENS,TAXI,Non-Fatal,1965
QUEENS,SMALL COM VEH(4 TIRES) ,Non-Fatal,1909
BROOKLYN,Tractor Truck Diesel,Non-Fatal,1866
BRONX,LIVERY VEHICLE,Non-Fatal,1787
QUEENS,PICK-UP TRUCK,Non-Fatal,1680
QUEENS,Motorcycle,Non-Fatal,1616
BRONX,Tractor Truck Diesel,Non-Fatal,1486
STATEN ISLAND,Pick-up Truck,Non-Fatal,1454
BRONX,BUS,Non-Fatal,1453
MANHATTAN,Motorcycle,Non-Fatal,1390
QUEENS,Tractor Truck Diesel,Non-Fatal,1345
BRONX,Bike,Non-Fatal,1338
BROOKLYN,LIVERY VEHICLE,Non-Fatal,1302
BRONX,TAXI,Non-Fatal,1292
STATEN ISLAND,4 dr sedan,Non-Fatal,1253
BROOKLYN,E-Bike,Non-Fatal,1229
BROOKLYN,Ambulance,Non-Fatal,1228
BRONX,Ambulance,Non-Fatal,1211
BRONX,LARGE COM VEH(6 OR MORE TIRES),Non-Fatal,1209
BRONX,SMALL COM VEH(4 TIRES) ,Non-Fatal,1138
MANHATTAN,MOTORCYCLE,Non-Fatal,1076
BROOKLYN,Dump,Non-Fatal,1067
QUEENS,LIVERY VEHICLE,Non-Fatal,1008
BRONX,Van,Non-Fatal,1000
QUEENS,Van,Non-Fatal,977
BROOKLYN,Moped,Non-Fatal,966
BRONX,Motorcycle,Non-Fatal,941
MANHATTAN,Ambulance,Non-Fatal,934
BROOKLYN,MOTORCYCLE,Non-Fatal,931
MANHATTAN,Tractor Truck Diesel,Non-Fatal,918
QUEENS,Convertible,Non-Fatal,824
BROOKLYN,Convertible,Non-Fatal,810
MANHATTAN,E-Bike,Non-Fatal,799
BRONX,PICK-UP TRUCK,Non-Fatal,778
QUEENS,E-Bike,Non-Fatal,747
MANHATTAN,AMBULANCE,Non-Fatal,717
MANHATTAN,Dump,Non-Fatal,704
BROOKLYN,PK,Non-Fatal,691
QUEENS,MOTORCYCLE,Non-Fatal,676
BROOKLYN,E-Scooter,Non-Fatal,673
BROOKLYN,Garbage or Refuse,Non-Fatal,662
BROOKLYN,AMBULANCE,Non-Fatal,648
QUEENS,Ambulance,Non-Fatal,640
MANHATTAN,PK,Non-Fatal,633
QUEENS,Moped,Non-Fatal,616
MANHATTAN,Convertible,Non-Fatal,608
QUEENS,Dump,Non-Fatal,604
BRONX,Moped,Non-Fatal,601
BROOKLYN,Carry All,Non-Fatal,597
MANHATTAN,Garbage or Refuse,Non-Fatal,588
QUEENS,2 dr sedan,Non-Fatal,581
BRONX,E-Bike,Non-Fatal,579
MANHATTAN,E-Scooter,Non-Fatal,571
STATEN ISLAND,UNKNOWN,Non-Fatal,570
BROOKLYN,Flat Bed,Non-Fatal,569
STATEN ISLAND,OTHER,Non-Fatal,564
BRONX,AMBULANCE,Non-Fatal,555
BROOKLYN,2 dr sedan,Non-Fatal,534
STATEN ISLAND,PICK-UP TRUCK,Non-Fatal,533
STATEN ISLAND,Bus,Non-Fatal,477
STATEN ISLAND,VAN,Non-Fatal,466
MANHATTAN,Moped,Non-Fatal,457
MANHATTAN,Flat Bed,Non-Fatal,451
BROOKLYN,Tractor Truck Gasoline,Non-Fatal,418
BRONX,Dump,Non-Fatal,414
QUEENS,E-Scooter,Non-Fatal,410
QUEENS,Garbage or Refuse,Non-Fatal,385
BRONX,Convertible,Non-Fatal,371
BROOKLYN,Tow Truck / Wrecker,Non-Fatal,352
BRONX,E-Scooter,Non-Fatal,349
QUEENS,AMBULANCE,Non-Fatal,348
BRONX,PK,Non-Fatal,347
QUEENS,Flat Bed,Non-Fatal,338
STATEN ISLAND,BUS,Non-Fatal,329
QUEENS,PK,Non-Fatal,329
MANHATTAN,Carry All,Non-Fatal,320
MANHATTAN,2 dr sedan,Non-Fatal,318
BRONX,MOTORCYCLE,Non-Fatal,313
BRONX,Garbage or Refuse,Non-Fatal,311
BROOKLYN,FIRE TRUCK,Non-Fatal,262
BRONX,Carry All,Non-Fatal,253
QUEENS,Tow Truck / Wrecker,Non-Fatal,238
MANHATTAN,Tow Truck / Wrecker,Non-Fatal,233
MANHATTAN,FIRE TRUCK,Non-Fatal,226
BROOKLYN,BICYCLE,Non-Fatal,224
BRONX,2 dr sedan,Non-Fatal,213
BROOKLYN,Motorscooter,Non-Fatal,209
STATEN ISLAND,Motorcycle,Non-Fatal,207
STATEN ISLAND,Box Truck,Non-Fatal,205
QUEENS,Carry All,Non-Fatal,203
BRONX,Tractor Truck Gasoline,Non-Fatal,198
BROOKLYN,Tanker,Non-Fatal,197
QUEENS,Tractor Truck Gasoline,Non-Fatal,189
MANHATTAN,Tractor Truck Gasoline,Non-Fatal,186
BRONX,Tow Truck / Wrecker,Non-Fatal,182
MANHATTAN,BICYCLE,Non-Fatal,177
BROOKLYN,Chassis Cab,Non-Fatal,177
BRONX,Flat Bed,Non-Fatal,168
STATEN ISLAND,Bike,Non-Fatal,166
BROOKLYN,Station Wagon/Sport Utility Vehicle,Fatal,152
MANHATTAN,Motorscooter,Non-Fatal,149
QUEENS,FIRE TRUCK,Non-Fatal,146
BROOKLYN,Standing S,Non-Fatal,143
BROOKLYN,Concrete Mixer,Non-Fatal,141
BROOKLYN,Motorbike,Non-Fatal,140
STATEN ISLAND,SMALL COM VEH(4 TIRES) ,Non-Fatal,129
MANHATTAN,Flat Rack,Non-Fatal,126
BRONX,Motorscooter,Non-Fatal,124
BRONX,Tanker,Non-Fatal,123
QUEENS,Station Wagon/Sport Utility Vehicle,Fatal,123
QUEENS,Motorscooter,Non-Fatal,122
MANHATTAN,Refrigerated Van,Non-Fatal,122
MANHATTAN,Standing S,Non-Fatal,120
QUEENS,Tanker,Non-Fatal,119
QUEENS,Chassis Cab,Non-Fatal,119
BROOKLYN,Sedan,Fatal,119
STATEN ISLAND,Taxi,Non-Fatal,115
STATEN ISLAND,Van,Non-Fatal,113
BRONX,FIRE TRUCK,Non-Fatal,113
QUEENS,Sedan,Fatal,112
STATEN ISLAND,Convertible,Non-Fatal,111
BRONX,Chassis Cab,Non-Fatal,109
MANHATTAN,Chassis Cab,Non-Fatal,109
MANHATTAN,LIMO,Non-Fatal,108
BROOKLYN,Refrigerated Van,Non-Fatal,108
MANHATTAN,Armored Truck,Non-Fatal,106
MANHATTAN,van,Non-Fatal,104
MANHATTAN,Tanker,Non-Fatal,99
STATEN ISLAND,2 dr sedan,Non-Fatal,97
BROOKLYN,van,Non-Fatal,96
QUEENS,Motorbike,Non-Fatal,96
STATEN ISLAND,LARGE COM VEH(6 OR MORE TIRES),Non-Fatal,95
BRONX,Standing S,Non-Fatal,95
MANHATTAN,SCOOTER,Non-Fatal,95
BROOKLYN,PASSENGER VEHICLE,Fatal,94
BRONX,Motorbike,Non-Fatal,92
STATEN ISLAND,MOTORCYCLE,Non-Fatal,92
BROOKLYN,SCOOTER,Non-Fatal,91
BROOKLYN,Flat Rack,Non-Fatal,87
QUEENS,Standing S,Non-Fatal,84
BROOKLYN,3-Door,Non-Fatal,83
QUEENS,BICYCLE,Non-Fatal,81
QUEENS,PASSENGER VEHICLE,Fatal,79
BROOKLYN,Armored Truck,Non-Fatal,78
BROOKLYN,LIMO,Non-Fatal,76
STATEN ISLAND,Dump,Non-Fatal,74
MANHATTAN,Beverage Truck,Non-Fatal,74
MANHATTAN,Concrete Mixer,Non-Fatal,73
BROOKLYN,AMBUL,Non-Fatal,71
STATEN ISLAND,Ambulance,Non-Fatal,70
MANHATTAN,Motorbike,Non-Fatal,69
BROOKLYN,SPORT UTILITY / STATION WAGON,Fatal,69
MANHATTAN,Station Wagon/Sport Utility Vehicle,Fatal,68
BRONX,AMBUL,Non-Fatal,67
BRONX,Station Wagon/Sport Utility Vehicle,Fatal,67
MANHATTAN,AMBUL,Non-Fatal,66
BRONX,3-Door,Non-Fatal,63
BRONX,Sedan,Fatal,61
QUEENS,Concrete Mixer,Non-Fatal,61
MANHATTAN,3-Door,Non-Fatal,60
BROOKLYN,Beverage Truck,Non-Fatal,59
QUEENS,Flat Rack,Non-Fatal,59
QUEENS,LIMO,Non-Fatal,59
QUEENS,AMBUL,Non-Fatal,55
BROOKLYN,TRUCK,Non-Fatal,55
MANHATTAN,Pedicab,Non-Fatal,54
BROOKLYN,MOPED,Non-Fatal,53
QUEENS,Lift Boom,Non-Fatal,53
MANHATTAN,Sedan,Fatal,52
BRONX,Refrigerated Van,Non-Fatal,50
BROOKLYN,Lift Boom,Non-Fatal,49
QUEENS,Armored Truck,Non-Fatal,47
STATEN ISLAND,PK,Non-Fatal,46
BROOKLYN,Stake or Rack,Non-Fatal,46
STATEN ISLAND,Tractor Truck Diesel,Non-Fatal,45
MANHATTAN,School Bus,Non-Fatal,45
BRONX,PASSENGER VEHICLE,Fatal,44
QUEENS,van,Non-Fatal,44
MANHATTAN,TRUCK,Non-Fatal,43
BRONX,MOPED,Non-Fatal,43
BROOKLYN,School Bus,Non-Fatal,42
BROOKLYN,E-Sco,Non-Fatal,41
QUEENS,Refrigerated Van,Non-Fatal,40
BRONX,van,Non-Fatal,40
QUEENS,SPORT UTILITY / STATION WAGON,Fatal,40
STATEN ISLAND,Garbage or Refuse,Non-Fatal,39
QUEENS,TRAIL,Non-Fatal,39
BROOKLYN,Motorcycle,Fatal,38
BRONX,Beverage Truck,Non-Fatal,38
BROOKLYN,Snow Plow,Non-Fatal,38
STATEN ISLAND,AMBULANCE,Non-Fatal,37
QUEENS,School Bus,Non-Fatal,36
MANHATTAN,PASSENGER VEHICLE,Fatal,36
BRONX,Concrete Mixer,Non-Fatal,35
MANHATTAN,Lift Boom,Non-Fatal,35
STATEN ISLAND,Carry All,Non-Fatal,35
MANHATTAN,Stake or Rack,Non-Fatal,34
QUEENS,Motorcycle,Fatal,34
BROOKLYN,FIRE,Non-Fatal,34
QUEENS,3-Door,Non-Fatal,34
QUEENS,Snow Plow,Non-Fatal,33
QUEENS,Beverage Truck,Non-Fatal,33
BRONX,Lift Boom,Non-Fatal,30
QUEENS,SCOOTER,Non-Fatal,29
BROOKLYN,FDNY,Non-Fatal,29
BROOKLYN,E-Bik,Non-Fatal,28
MANHATTAN,FDNY,Non-Fatal,27
BROOKLYN,TRAIL,Non-Fatal,27
MANHATTAN,COM,Non-Fatal,27
MANHATTAN,USPS,Non-Fatal,26
QUEENS,FIRE,Non-Fatal,26
BRONX,Armored Truck,Non-Fatal,26
QUEENS,Stake or Rack,Non-Fatal,26
BRONX,Snow Plow,Non-Fatal,25
BROOKLYN,Bulk Agriculture,Non-Fatal,25
MANHATTAN,FIRE,Non-Fatal,25
BROOKLYN,Box Truck,Fatal,25
QUEENS,Multi-Wheeled Vehicle,Non-Fatal,25
QUEENS,Open Body,Non-Fatal,25
MANHATTAN,MOPED,Non-Fatal,24
BRONX,Motorcycle,Fatal,24
MANHATTAN,SPORT UTILITY / STATION WAGON,Fatal,24
BRONX,SCOOTER,Non-Fatal,24
STATEN ISLAND,FIRE TRUCK,Non-Fatal,24
BRONX,LIMO,Non-Fatal,23
STATEN ISLAND,LIVERY VEHICLE,Non-Fatal,23
BROOKLYN,AMBU,Non-Fatal,23
QUEENS,UNKNOWN,Fatal,23
QUEENS,MOPED,Non-Fatal,23
STATEN ISLAND,Station Wagon/Sport Utility Vehicle,Fatal,22
STATEN ISLAND,Sedan,Fatal,22
MANHATTAN,Multi-Wheeled Vehicle,Non-Fatal,21
BRONX,BICYCLE,Non-Fatal,21
STATEN ISLAND,Flat Bed,Non-Fatal,21
BRONX,Multi-Wheeled Vehicle,Non-Fatal,21
BRONX,E-Sco,Non-Fatal,21
BROOKLYN,TRAILER,Non-Fatal,21
QUEENS,DUMP,Non-Fatal,21
STATEN ISLAND,Tractor Truck Gasoline,Non-Fatal,21
QUEENS,TRAILER,Non-Fatal,21
STATEN ISLAND,E-Bike,Non-Fatal,21
STATEN ISLAND,School Bus,Non-Fatal,20
BRONX,TRUCK,Non-Fatal,20
QUEENS,FDNY,Non-Fatal,20
BROOKLYN,TRACT,Non-Fatal,20
BRONX,FIRE,Non-Fatal,20
BRONX,School Bus,Non-Fatal,20
MANHATTAN,ambulance,Non-Fatal,20
STATEN ISLAND,PASSENGER VEHICLE,Fatal,19
BROOKLYN,Pick-up Truck,Fatal,19
BROOKLYN,DUMP,Non-Fatal,19
BROOKLYN,Multi-Wheeled Vehicle,Non-Fatal,19
MANHATTAN,COMME,Non-Fatal,19
MANHATTAN,PEDICAB,Non-Fatal,18
BROOKLYN,Pickup with mounted Camper,Non-Fatal,18
MANHATTAN,ambul,Non-Fatal,18
MANHATTAN,Snow Plow,Non-Fatal,18
BROOKLYN,ambul,Non-Fatal,18
BROOKLYN,Ambul,Non-Fatal,18
MANHATTAN,E-Bik,Non-Fatal,17
BRONX,Ambul,Non-Fatal,17
BROOKLYN,COMMERCIAL,Non-Fatal,17
BROOKLYN,FIRETRUCK,Non-Fatal,17
BRONX,SPORT UTILITY / STATION WAGON,Fatal,17
MANHATTAN,Bus,Fatal,16
QUEENS,Pick-up Truck,Fatal,16
BRONX,AMBU,Non-Fatal,16
BROOKLYN,Fire Truck,Non-Fatal,16
BROOKLYN,Truck,Non-Fatal,16
QUEENS,MOTORCYCLE,Fatal,16
BRONX,FDNY,Non-Fatal,16
BRONX,moped,Non-Fatal,16
QUEENS,TRUCK,Non-Fatal,16
MANHATTAN,Lunch Wagon,Non-Fatal,15
BROOKLYN,UNK,Non-Fatal,15
MANHATTAN,Taxi,Fatal,15
MANHATTAN,DELIV,Non-Fatal,15
MANHATTAN,AMBU,Non-Fatal,15
BROOKLYN,Bus,Fatal,15
BRONX,FDNY AMBUL,Non-Fatal,15
BRONX,Flat Rack,Non-Fatal,15
BROOKLYN,TOW T,Non-Fatal,15
MANHATTAN,Box Truck,Fatal,15
QUEENS,Bus,Fatal,15
QUEENS,ambul,Non-Fatal,15
MANHATTAN,DUMP,Non-Fatal,14
MANHATTAN,Pickup with mounted Camper,Non-Fatal,14
BRONX,DUMP,Non-Fatal,14
STATEN ISLAND,Tow Truck / Wrecker,Non-Fatal,14
STATEN ISLAND,E-Scooter,Non-Fatal,14
MANHATTAN,LARGE COM VEH(6 OR MORE TIRES),Fatal,14
BROOKLYN,UNKNO,Non-Fatal,14
MANHATTAN,TRACT,Non-Fatal,13
BROOKLYN,UTILI,Non-Fatal,13
BRONX,Stake or Rack,Non-Fatal,13
QUEENS,E-Sco,Non-Fatal,13
BROOKLYN,FDNY AMBUL,Non-Fatal,13
QUEENS,Bulk Agriculture,Non-Fatal,13
MANHATTAN,DELV,Non-Fatal,13
BRONX,ambul,Non-Fatal,13
MANHATTAN,Bike,Fatal,13
MANHATTAN,Motorcycle,Fatal,13
STATEN ISLAND,TAXI,Non-Fatal,13
BROOKLYN,LARGE COM VEH(6 OR MORE TIRES),Fatal,13
BROOKLYN,fire,Non-Fatal,13
BROOKLYN,BUS,Fatal,13
MANHATTAN,Ambul,Non-Fatal,12
QUEENS,USPS,Non-Fatal,12
BRONX,Open Body,Non-Fatal,12
BROOKLYN,ambulance,Non-Fatal,12
MANHATTAN,TRAIL,Non-Fatal,12
QUEENS,Truck,Non-Fatal,12
BROOKLYN,Pallet,Non-Fatal,12
QUEENS,trail,Non-Fatal,12
BROOKLYN,Fire,Non-Fatal,12
STATEN ISLAND,PAS,Non-Fatal,12
STATEN ISLAND,SPORT UTILITY / STATION WAGON,Fatal,12
BROOKLYN,MOTORCYCLE,Fatal,12
BRONX,Minibike,Non-Fatal,12
QUEENS,Ambul,Non-Fatal,12
BROOKLYN,Open Body,Non-Fatal,12
STATEN ISLAND,Chassis Cab,Non-Fatal,12
