year,month,total_cyclist_injuries,period,previous_month_injuries,month_over_month_change,year_month
2012,7,450,Pre-2019,,,2012-07
2012,8,508,Pre-2019,450.0,58.0,2012-08
2012,9,434,Pre-2019,508.0,-74.0,2012-09
2012,10,329,Pre-2019,434.0,-105.0,2012-10
2012,11,277,Pre-2019,329.0,-52.0,2012-11
2012,12,212,Pre-2019,277.0,-65.0,2012-12
2013,1,192,Pre-2019,212.0,-20.0,2013-01
2013,2,131,Pre-2019,192.0,-61.0,2013-02
2013,3,195,Pre-2019,131.0,64.0,2013-03
2013,4,290,Pre-2019,195.0,95.0,2013-04
2013,5,400,Pre-2019,290.0,110.0,2013-05
2013,6,508,Pre-2019,400.0,108.0,2013-06
2013,7,470,Pre-2019,508.0,-38.0,2013-07
2013,8,524,Pre-2019,470.0,54.0,2013-08
2013,9,479,Pre-2019,524.0,-45.0,2013-09
2013,10,429,Pre-2019,479.0,-50.0,2013-10
2013,11,282,Pre-2019,429.0,-147.0,2013-11
2013,12,175,Pre-2019,282.0,-107.0,2013-12
2014,1,120,Pre-2019,175.0,-55.0,2014-01
2014,2,94,Pre-2019,120.0,-26.0,2014-02
2014,3,190,Pre-2019,94.0,96.0,2014-03
2014,4,309,Pre-2019,190.0,119.0,2014-04
2014,5,391,Pre-2019,309.0,82.0,2014-05
2014,6,473,Pre-2019,391.0,82.0,2014-06
2014,7,538,Pre-2019,473.0,65.0,2014-07
2014,8,501,Pre-2019,538.0,-37.0,2014-08
2014,9,489,Pre-2019,501.0,-12.0,2014-09
2014,10,430,Pre-2019,489.0,-59.0,2014-10
2014,11,280,Pre-2019,430.0,-150.0,2014-11
2014,12,186,Pre-2019,280.0,-94.0,2014-12
2015,1,115,Pre-2019,186.0,-71.0,2015-01
2015,2,82,Pre-2019,115.0,-33.0,2015-02
2015,3,161,Pre-2019,82.0,79.0,2015-03
2015,4,305,Pre-2019,161.0,144.0,2015-04
2015,5,474,Pre-2019,305.0,169.0,2015-05
2015,6,441,Pre-2019,474.0,-33.0,2015-06
2015,7,577,Pre-2019,441.0,136.0,2015-07
2015,8,569,Pre-2019,577.0,-8.0,2015-08
2015,9,517,Pre-2019,569.0,-52.0,2015-09
2015,10,408,Pre-2019,517.0,-109.0,2015-10
2015,11,343,Pre-2019,408.0,-65.0,2015-11
2015,12,292,Pre-2019,343.0,-51.0,2015-12
2016,1,163,Pre-2019,292.0,-129.0,2016-01
2016,2,166,Pre-2019,163.0,3.0,2016-02
2016,3,330,Pre-2019,166.0,164.0,2016-03
2016,4,372,Pre-2019,330.0,42.0,2016-04
2016,5,455,Pre-2019,372.0,83.0,2016-05
2016,6,572,Pre-2019,455.0,117.0,2016-06
2016,7,588,Pre-2019,572.0,16.0,2016-07
2016,8,636,Pre-2019,588.0,48.0,2016-08
2016,9,582,Pre-2019,636.0,-54.0,2016-09
2016,10,482,Pre-2019,582.0,-100.0,2016-10
2016,11,391,Pre-2019,482.0,-91.0,2016-11
2016,12,238,Pre-2019,391.0,-153.0,2016-12
2017,1,192,Pre-2019,238.0,-46.0,2017-01
2017,2,224,Pre-2019,192.0,32.0,2017-02
2017,3,234,Pre-2019,224.0,10.0,2017-03
2017,4,367,Pre-2019,234.0,133.0,2017-04
2017,5,483,Pre-2019,367.0,116.0,2017-05
2017,6,593,Pre-2019,483.0,110.0,2017-06
2017,7,586,Pre-2019,593.0,-7.0,2017-07
2017,8,550,Pre-2019,586.0,-36.0,2017-08
2017,9,593,Pre-2019,550.0,43.0,2017-09
2017,10,472,Pre-2019,593.0,-121.0,2017-10
2017,11,353,Pre-2019,472.0,-119.0,2017-11
2017,12,242,Pre-2019,353.0,-111.0,2017-12
2018,1,197,Pre-2019,242.0,-45.0,2018-01
2018,2,213,Pre-2019,197.0,16.0,2018-02
2018,3,243,Pre-2019,213.0,30.0,2018-03
2018,4,314,Pre-2019,243.0,71.0,2018-04
2018,5,468,Pre-2019,314.0,154.0,2018-05
2018,6,530,Pre-2019,468.0,62.0,2018-06
2018,7,561,Pre-2019,530.0,31.0,2018-07
2018,8,630,Pre-2019,561.0,69.0,2018-08
2018,9,544,Pre-2019,630.0,-86.0,2018-09
2018,10,476,Pre-2019,544.0,-68.0,2018-10
2018,11,309,Pre-2019,476.0,-167.0,2018-11
2018,12,240,Pre-2019,309.0,-69.0,2018-12
2019,1,222,Post-2019,240.0,-18.0,2019-01
2019,2,216,Post-2019,222.0,-6.0,2019-02
2019,3,259,Post-2019,216.0,43.0,2019-03
2019,4,383,Post-2019,259.0,124.0,2019-04
2019,5,477,Post-2019,383.0,94.0,2019-05
2019,6,541,Post-2019,477.0,64.0,2019-06
2019,7,611,Post-2019,541.0,70.0,2019-07
2019,8,642,Post-2019,611.0,31.0,2019-08
2019,9,594,Post-2019,642.0,-48.0,2019-09
2019,10,481,Post-2019,594.0,-113.0,2019-10
2019,11,311,Post-2019,481.0,-170.0,2019-11
2019,12,249,Post-2019,311.0,-62.0,2019-12
2020,1,243,Post-2019,249.0,-6.0,2020-01
2020,2,242,Post-2019,243.0,-1.0,2020-02
2020,3,273,Post-2019,242.0,31.0,2020-03
2020,4,137,Post-2019,273.0,-136.0,2020-04
2020,5,368,Post-2019,137.0,231.0,2020-05
2020,6,634,Post-2019,368.0,266.0,2020-06
2020,7,721,Post-2019,634.0,87.0,2020-07
2020,8,743,Post-2019,721.0,22.0,2020-08
2020,9,739,Post-2019,743.0,-4.0,2020-09
2020,10,624,Post-2019,739.0,-115.0,2020-10
2020,11,531,Post-2019,624.0,-93.0,2020-11
2020,12,321,Post-2019,531.0,-210.0,2020-12
2021,1,284,Post-2019,321.0,-37.0,2021-01
2021,2,144,Post-2019,284.0,-140.0,2021-02
2021,3,324,Post-2019,144.0,180.0,2021-03
2021,4,355,Post-2019,324.0,31.0,2021-04
2021,5,511,Post-2019,355.0,156.0,2021-05
2021,6,548,Post-2019,511.0,37.0,2021-06
2021,7,496,Post-2019,548.0,-52.0,2021-07
2021,8,533,Post-2019,496.0,37.0,2021-08
2021,9,498,Post-2019,533.0,-35.0,2021-09
2021,10,544,Post-2019,498.0,46.0,2021-10
2021,11,393,Post-2019,544.0,-151.0,2021-11
2021,12,331,Post-2019,393.0,-62.0,2021-12
2022,1,177,Post-2019,331.0,-154.0,2022-01
2022,2,204,Post-2019,177.0,27.0,2022-02
2022,3,314,Post-2019,204.0,110.0,2022-03
2022,4,373,Post-2019,314.0,59.0,2022-04
2022,5,496,Post-2019,373.0,123.0,2022-05
2022,6,616,Post-2019,496.0,120.0,2022-06
2022,7,581,Post-2019,616.0,-35.0,2022-07
2022,8,590,Post-2019,581.0,9.0,2022-08
2022,9,552,Post-2019,590.0,-38.0,2022-09
2022,10,443,Post-2019,552.0,-109.0,2022-10
2022,11,409,Post-2019,443.0,-34.0,2022-11
2022,12,272,Post-2019,409.0,-137.0,2022-12
2023,1,243,Post-2019,272.0,-29.0,2023-01
2023,2,250,Post-2019,243.0,7.0,2023-02
2023,3,374,Post-2019,250.0,124.0,2023-03
2023,4,404,Post-2019,374.0,30.0,2023-04
2023,5,522,Post-2019,404.0,118.0,2023-05
2023,6,486,Post-2019,522.0,-36.0,2023-06
2023,7,532,Post-2019,486.0,46.0,2023-07
2023,8,534,Post-2019,532.0,2.0,2023-08
2023,9,541,Post-2019,534.0,7.0,2023-09
2023,10,534,Post-2019,541.0,-7.0,2023-10
2023,11,403,Post-2019,534.0,-131.0,2023-11
2023,12,356,Post-2019,403.0,-47.0,2023-12
2024,1,241,Post-2019,356.0,-115.0,2024-01
2024,2,263,Post-2019,241.0,22.0,2024-02
2024,3,345,Post-2019,263.0,82.0,2024-03
2024,4,400,Post-2019,345.0,55.0,2024-04
2024,5,469,Post-2019,400.0,69.0,2024-05
2024,6,529,Post-2019,469.0,60.0,2024-06
2024,7,529,Post-2019,529.0,0.0,2024-07
2024,8,543,Post-2019,529.0,14.0,2024-08
2024,9,544,Post-2019,543.0,1.0,2024-09
2024,10,565,Post-2019,544.0,21.0,2024-10
2024,11,394,Post-2019,565.0,-171.0,2024-11
2024,12,328,Post-2019,394.0,-66.0,2024-12
2025,1,205,Post-2019,328.0,-123.0,2025-01
2025,2,203,Post-2019,205.0,-2.0,2025-02
2025,3,367,Post-2019,203.0,164.0,2025-03
2025,4,392,Post-2019,367.0,25.0,2025-04
2025,5,526,Post-2019,392.0,134.0,2025-05
2025,6,530,Post-2019,526.0,4.0,2025-06
2025,7,636,Post-2019,530.0,106.0,2025-07
2025,8,638,Post-2019,636.0,2.0,2025-08
2025,9,581,Post-2019,638.0,-57.0,2025-09
2025,10,550,Post-2019,581.0,-31.0,2025-10
2025,11,447,Post-2019,550.0,-103.0,2025-11
2025,12,283,Post-2019,447.0,-164.0,2025-12
2026,1,209,Post-2019,283.0,-74.0,2026-01
2026,2,177,Post-2019,209.0,-32.0,2026-02
2026,3,338,Post-2019,177.0,161.0,2026-03
2026,4,258,Post-2019,338.0,-80.0,2026-04
