contributing_factor,time_of_day,crash_count,factor_rank_within_time_of_day
Unspecified,Afternoon,2823,1
Unspecified,Night,2670,1
Unspecified,Evening,2484,1
Driver Inattention/Distraction,Afternoon,2291,2
Driver Inattention/Distraction,Night,2247,2
Unspecified,Morning,2015,1
Driver Inattention/Distraction,Evening,1944,2
Driver Inattention/Distraction,Morning,1769,2
Following Too Closely,Afternoon,1100,3
Failure to Yield Right-of-Way,Afternoon,937,4
Unsafe Speed,Night,820,3
Following Too Closely,Evening,799,3
Failure to Yield Right-of-Way,Evening,794,4
Following Too Closely,Morning,770,3
Following Too Closely,Night,768,4
Traffic Control Disregarded,Night,740,5
Failure to Yield Right-of-Way,Night,685,6
Alcohol Involvement,Night,651,7
Failure to Yield Right-of-Way,Morning,623,4
Traffic Control Disregarded,Afternoon,607,5
Traffic Control Disregarded,Morning,508,5
Other Vehicular,Night,469,8
Traffic Control Disregarded,Evening,461,5
Unsafe Speed,Afternoon,412,6
Unsafe Speed,Evening,410,6
Other Vehicular,Afternoon,377,7
Unsafe Speed,Morning,363,6
Other Vehicular,Evening,280,7
Other Vehicular,Morning,272,7
Fatigued/Drowsy,Afternoon,267,8
Fatigued/Drowsy,Evening,259,8
Passing or Lane Usage Improper,Night,243,9
Unsafe Lane Changing,Night,242,10
Turning Improperly,Afternoon,236,9
Driver Inexperience,Afternoon,207,10
Unsafe Lane Changing,Morning,206,8
Unsafe Lane Changing,Afternoon,198,11
Unsafe Lane Changing,Evening,195,9
Driver Inexperience,Night,194,11
Passing or Lane Usage Improper,Afternoon,189,12
Turning Improperly,Night,188,12
Turning Improperly,Evening,186,10
Alcohol Involvement,Evening,179,11
Passing or Lane Usage Improper,Evening,177,12
Fatigued/Drowsy,Morning,177,9
Fatigued/Drowsy,Night,176,13
Driver Inexperience,Evening,175,13
Reaction to Uninvolved Vehicle,Night,161,14
Passing or Lane Usage Improper,Morning,156,10
Turning Improperly,Morning,152,11
Pavement Slippery,Night,143,15
Driver Inexperience,Morning,139,12
Physical Disability,Afternoon,137,13
Physical Disability,Night,137,16
Reaction to Uninvolved Vehicle,Afternoon,136,14
Physical Disability,Morning,124,13
Reaction to Uninvolved Vehicle,Morning,123,14
Alcohol Involvement,Morning,120,15
Reaction to Uninvolved Vehicle,Evening,119,14
Aggressive Driving/Road Rage,Night,117,17
Physical Disability,Evening,113,15
Brakes Defective,Afternoon,112,15
Pavement Slippery,Morning,105,16
View Obstructed/Limited,Afternoon,83,16
Brakes Defective,Evening,83,16
Lost Consciousness,Afternoon,78,17
Aggressive Driving/Road Rage,Evening,78,17
Brakes Defective,Morning,78,17
Backing Unsafely,Afternoon,75,18
View Obstructed/Limited,Evening,72,18
Alcohol Involvement,Afternoon,71,19
View Obstructed/Limited,Night,71,18
Aggressive Driving/Road Rage,Afternoon,70,20
